accession,agent,api,api_model
0001104659-22-026590,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001104659-22-012797,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-277900,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000007084-22-000026,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-257575,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001140361-24-001194,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001140361-23-058160,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001140361-23-052102,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001273813-24-000004,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001273813-24-000002,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000950170-22-020015,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0000109563-22-000041,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000109563-22-000037,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001562401-21-000136,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001387467-22-000019,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001157523-22-000153,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-037589,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-032447,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-017465,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001564590-22-005926,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001751008-24-000017,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-24-058014,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001751008-24-000004,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001104659-22-024329,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001104659-22-000701,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001389050-23-000010,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001389050-23-000008,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000950170-24-016783,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001299709-24-000092,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000913142-23-000002,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000913142-22-000025,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000950170-22-020198,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001171843-23-004737,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000746598-23-000064,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000746598-23-000056,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001064728-22-000020,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001064728-22-000005,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001064728-22-000002,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001562762-22-000385,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001562762-22-000381,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001562762-22-000295,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001562762-22-000149,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000907471-23-000088,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001710366-23-000016,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001437749-22-025267,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001558370-24-001524,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-056488,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001624794-23-000041,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001193125-22-265635,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001193125-22-283503,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001915657-22-000095,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001915657-22-000088,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001915657-22-000083,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-22-253683,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001915657-22-000080,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-22-245734,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001915657-22-000064,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001915657-22-000054,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001915657-22-000050,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001915657-22-000044,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001915657-22-000037,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001915657-22-000032,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-22-275402,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001562088-24-000058,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001562088-24-000048,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000067215-22-000049,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000067215-22-000041,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0000067215-22-000029,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001463101-22-000111,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001463101-22-000093,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001193125-23-195264,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-23-155484,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-23-151850,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-23-148201,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-23-147603,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001564590-22-002568,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001157523-23-000656,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001157523-23-000542,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001794669-23-000008,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001681459-24-000093,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001681459-24-000043,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001140361-24-004288,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000039911-24-000127,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000042888-23-000029,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000042888-23-000024,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000042888-23-000012,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000355811-24-000007,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001652044-24-000014,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001408075-23-000004,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000313143-23-000039,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000313143-23-000037,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-21-362424,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-21-003576,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-21-323092,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000851310-22-000066,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000851310-22-000059,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000851310-22-000047,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0000851310-22-000034,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001433642-24-000067,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001433642-24-000061,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001564590-21-059688,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001564590-21-052634,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001753926-23-000072,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001628280-23-016132,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001628280-23-012129,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001669162-23-000007,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001157523-23-001530,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001157523-23-001331,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-014420,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-096174,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
