ticker,date,kind,evidence,note
AA,2016-11-01,price_cut,0001193125-16-755437,"Alcoa Corp separation completed 2016-11-01. Earlier Yahoo AA bars are Alcoa Inc (now Howmet), scaled by the 1.248 spin factor. Fundamentals already start 2016 (new CIK)."
PPLI,2020-07-01,price_cut,0001104659-20-080610,New IAC separation closed 2020-06-30; first trading 2020-07-01. Earlier Yahoo PPLI bars are old IAC (Match lineage) scaled by 3.054. Fundamentals already start 2020 (new CIK).
IVT,2021-10-12,price_cut,0001193125-21-296927,"NYSE listing: 'On October 12, 2021, the Company's common stock began trading on the NYSE'. Earlier bars are non-traded-REIT quotes (mostly zero volume) plus the unadjusted 1:10 reverse split of 2021-08-05 (see splits_fork2_additions.json)."
PECO,2021-07-15,price_cut,0001476204-21-000189,Underwritten IPO + Nasdaq listing; first traded day 2021-07-15 (6.7M shares; earlier bars mostly zero volume). Earlier bars are non-traded-REIT quotes plus the unadjusted 1:3 reverse split of 2021-07-02 (see splits_fork2_additions.json).
CHRD,2020-11-20,both,0001486159-20-000115,"Oasis emerged from Ch.11 2020-11-19 ('the Effective Date'); old equity cancelled, new equity trades from 2020-11-20. The Yahoo series stitches the old $0.12 equity to the new ~$31 equity (258x bar). The store's predecessor stub quarter ends 2020-11-19, and the Q2 2021 vs Q2 2020 YoY (3.52 vs -0.29, old shares) is the spurious case."
WSC,2017-11-30,both,0001104659-17-071936,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2017-11-29, Double Eagle Acquisition Corp -> WillScot); the close-day bar is still the shell."
PR,2016-10-12,both,0001104659-16-149621,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2016-10-11, Silver Run Acquisition Corp -> Centennial); the close-day bar is still the shell."
MGY,2018-08-01,both,0001193125-18-239706,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2018-07-31, TPG Pace Energy Holdings -> Magnolia); the close-day bar is still the shell."
VRRM,2018-10-18,both,0001564590-18-024644,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2018-10-17, Gores Holdings II -> Verra; listed as VRRM 2018-10-18); the close-day bar is still the shell."
AHCO,2019-11-11,both,0001104659-19-063569,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2019-11-08, DFB Healthcare Acquisitions -> AdaptHealth); the close-day bar is still the shell."
