accession,score_b,rationale_b,score_a,rationale_a
0001064728-22-000015,NEUTRAL,"Conference presentation states 2021 adjusted EBITDA of $917M but gives no explicit prior-year profit comparison or raised profit guidance, so the strict earnings rule is not met.",NEUTRAL,"Reg FD conference slides with previously reported 2021 figures and volume/cost outlook, with no new results or guidance raise."
0000746598-23-000056,STRONG_POSITIVE,GAAP diluted EPS rose 23.5% to $1.00 from $0.81 in the prior-year quarter and adjusted EPS rose to $1.04 from $0.87.,STRONG_POSITIVE,"GAAP diluted EPS rose 23.5% to $1.00 from $0.81 and non-GAAP diluted EPS excluding certain items rose 19.5% to $1.04 from $0.87, while the fiscal 2024 EPS guidance is first-time guidance."
0001193125-22-002266,NEUTRAL,Reclassification of Diamond reporting with no impact on net income or EBITDA; no profit comparison or guidance change.,NEUTRAL,Reg FD notice of revised presentation methodology with no impact on previously reported net income or EBITDA.
0001157523-23-000542,NEUTRAL,Routine board appointment and bylaw change; no negative circumstances or material business impact.,NEUTRAL,"Routine independent director appointment with an accompanying bylaw change to enlarge the board, no financial or adverse content."
0001193125-23-155484,NEUTRAL,Routine compensation grant under Item 5.02 with no departure or business event.,NEUTRAL,Routine compensation committee grant of performance- and time-vesting restricted stock to officers.
0000950170-21-003576,STRONG_POSITIVE,"GAAP net income rose to $99M from a $7M loss (diluted EPS $0.90 vs -$0.08) and adjusted EBITDA rose to $340M from $19M, with EBITDA still far higher YoY even excluding the $133M deferral recognition.",STRONG_POSITIVE,"GAAP net income rose to $99 million from a $7 million loss and Adjusted EBITDA (non-GAAP) rose to $340 million from $19 million YoY, boosted by $133 million net recognition of previously deferred VOI sales (project-lead ruling: STRONG_POSITIVE)."
0000907471-23-000088,STRONG_POSITIVE,GAAP diluted EPS rose to $1.68 from $0.76 (net income $45.1M vs $22.4M) and FY2023 GAAP EPS guidance was raised to $5.60-$6.00.,STRONG_POSITIVE,GAAP net income rose to $45.1M ($1.68 EPS) from $22.4M ($0.76) a year earlier (non-GAAP adjusted $27.3M) and the company raised FY2023 GAAP EPS guidance to $5.60-$6.00 (prior range not stated in text).
0001104659-22-026590,NEUTRAL,Routine board additions with no negative circumstances or business impact.,NEUTRAL,"Routine board expansion and election of two directors, with no financial or operating news."
0000950170-23-017465,STRONG_POSITIVE,"Adjusted EBITDA rose 14.8% to $147M from $128M and adjusted diluted EPS rose to $0.25 from $0.23 (GAAP net income $26M vs -$7M), with adjusted EBITDA guidance raised.",STRONG_POSITIVE,"GAAP net income swung to $26M from a $7M loss, adjusted EBITDA (non-GAAP) rose 14.8% to $147M, and full-year adjusted EBITDA guidance was raised to $740-780M from $735-775M."
0001437749-22-021843,NEUTRAL,"TEXT_UNUSABLE: exhibit is image-only and item text contains only forward-looking-statement boilerplate, so no event can be scored.",NEUTRAL,TEXT_UNUSABLE: exhibit is image-only and the item text contains only forward-looking-statement boilerplate with no substantive content.
