ticker,flag,evidence,harmful,note
AA,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001675149 first 10-Q/10-K 2016-12-01,yes,"Alcoa Corp was SPUN from Alcoa Inc 2016-11-01. Yahoo AA before that date is Alcoa Inc (now Howmet), scaled by the spin factor 1.248, including Alcoa Inc's 1:3 reverse split 2016-10-06. Two companies mixed; it contaminates price warm-up (SMA200, 52-wk, ret_252, VCP 400 bars) until about Nov 2017. Fix: cut AA history before 2016-11-01."
AAMI,a_prices_before_first_filing,Yahoo from 2014-10-09; CIK 0001748824 first 10-Q/10-K 2019-08-09,no,US redomicile 2019 (new CIK). Same business; pre-2019 fundamentals missing (conservative).
ADEA,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001803696 first 10-Q/10-K 2020-08-10,no,Xperi/TiVo holdco 2020 (new CIK); Xperi accounting acquirer = price lineage. Pre-2020 fundamentals missing (conservative).
ASH,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001674862 first 10-Q/10-K 2016-11-21,no,"Holdco reorg 2016 (new CIK). Prices continuous, same business; pre-2016 fundamentals missing -> screens cannot pass (conservative)."
CERT,a_prices_before_first_filing,Yahoo from 2020-12-11; CIK 0001827090 first 10-Q/10-K 2021-03-15,no,IPO timing lag. Same company.
CRGY,a_prices_before_first_filing,Yahoo from 2021-12-08; CIK 0001866175 first 10-Q/10-K 2022-03-10,no,Listing 2021-12; first 10-K 2022-03. Same company.
DINO,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001915657 first 10-Q/10-K 2022-05-09,no,HF Sinclair holdco 2022 (new CIK). Prices = HollyFrontier (continuous). ALL 2017-2021 fundamentals missing -> never eligible in validation. Coverage gap (conservative); chain predecessor CIK 48039 to fix.
DXC,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001688568 first 10-Q/10-K 2017-03-31,no,DXC 2017 (new CIK). Yahoo pre-2017 = CSC (accounting acquirer; holders got DXC 1:1). Pre-2017 fundamentals missing (conservative).
FTI,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001681459 first 10-Q/10-K 2017-01-13,no,TechnipFMC 2017 (new CIK). Yahoo pre-2017 = FMC Technologies (accounting acquirer; holders got FTI 1:1). Pre-2017 fundamentals missing (conservative).
FUN,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001999001 first 10-Q/10-K 2024-08-08,no,Six Flags/Cedar Fair holdco 2024 (new CIK). Prices = Cedar Fair units. No fundamentals before 2024 (validation AND most of dev): coverage gap.
HLI,a_prices_before_first_filing,Yahoo from 2015-08-13; CIK 0001302215 first 10-Q/10-K 2015-11-13,no,IPO 2015-08; first 10-Q 92 days later. Same company.
HLNE,a_prices_before_first_filing,Yahoo from 2017-03-01; CIK 0001433642 first 10-Q/10-K 2017-06-27,no,IPO timing lag. Same company.
ICHR,a_prices_before_first_filing,Yahoo from 2016-12-09; CIK 0001652535 first 10-Q/10-K 2017-03-28,no,IPO timing lag. Same company.
IIPR,a_prices_before_first_filing,Yahoo from 2016-12-01; CIK 0001677576 first 10-Q/10-K 2017-03-23,no,IPO timing lag. Same company.
INDV,a_prices_before_first_filing,Yahoo from 2014-12-29; CIK 0001625297 first 10-Q/10-K 2024-03-06,no,SEC domestic filer only from 2024; earlier prices are the thin US line. No fundamentals 2014-2023 -> never eligible.
LQDA,a_prices_before_first_filing,Yahoo from 2018-07-26; CIK 0001819576 first 10-Q/10-K 2021-03-25,no,New holdco 2020 (RareGen merger). Price lineage = Liquidia; pre-2020 fundamentals missing (conservative).
NE,a_prices_before_first_filing,Yahoo from 2021-06-09; CIK 0001895262 first 10-Q/10-K 2022-11-03,no,Noble Corp plc 2022 (new CIK); prices from 2021-06 emergence. 2021 fundamentals missing (conservative).
NWE,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001993004 first 10-Q/10-K 2023-10-27,no,"NorthWestern holdco 2023 (new CIK). All validation-window fundamentals missing (coverage gap), and dev 2022-2023 too."
NWN,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001733998 first 10-Q/10-K 2018-11-06,no,"Holdco reorg 2018 (8-K12B, new CIK). Same business; pre-2018 fundamentals missing (conservative)."
OSW,a_prices_before_first_filing,Yahoo from 2017-11-17; CIK 0001758488 first 10-Q/10-K 2019-05-06,no,Yahoo history 2017-11..2019-03 is the Haymaker SPAC shell (~$10 flat) under the new OneSpaWorld CIK (fundamentals from 2019). Flat shell prices can't trigger entries; low risk. Optional: cut before 2019-03-20.
